timestamp,difficulty,mode,server,service,winner,reason,hits,duration_s,last_hitter,last_shot,score_kai_before,score_mina_before,sets_kai,sets_mina
2026-05-03T18:46:33,Club,singles,opponent,serve_drive,opponent,Faute dehors,4,4.53,player,smash,9,6,0,0
2026-05-03T18:46:45,Club,singles,opponent,serve_short,opponent,Point,13,11.51,opponent,drop,9,7,0,0
2026-05-03T18:46:54,Club,singles,opponent,serve_lob,opponent,Faute dehors,6,7.35,player,drop,9,8,0,0
2026-05-03T18:46:59,Club,singles,opponent,serve_short,player,Faute dehors,3,3.62,opponent,drop,9,9,0,0
2026-05-03T18:47:04,Club,singles,player,serve_lob,opponent,Faute dehors,3,4.49,player,drop,10,9,0,0
2026-05-03T18:47:15,Club,singles,opponent,serve_lob,player,Faute filet,9,9.66,opponent,drop,10,10,0,0
2026-05-03T18:47:19,Club,singles,player,serve_drive,opponent,Point,4,3.17,opponent,smash,11,10,0,0
2026-05-03T18:47:22,Club,singles,opponent,serve_drive,player,Faute service,1,1.55,opponent,serve_drive,11,11,0,0
2026-05-03T18:47:33,Club,singles,player,serve_lob,player,Faute filet,10,10.47,opponent,drop,12,11,0,0
2026-05-03T18:47:44,Club,singles,player,serve_short,opponent,Faute filet,11,9.22,player,drop,13,11,0,0
2026-05-03T18:47:49,Club,singles,opponent,serve_lob,opponent,Faute dehors,2,3.78,player,lob,13,12,0,0
2026-05-03T18:47:59,Club,singles,opponent,serve_short,opponent,Faute dehors,8,9.10,player,lob,13,13,0,0
2026-05-03T18:48:13,Club,singles,opponent,serve_short,player,Point,14,12.49,player,smash,13,14,0,0
2026-05-03T18:48:18,Club,singles,player,serve_lob,player,Point,3,3.84,player,drop,14,14,0,0
2026-05-03T18:48:21,Club,singles,player,serve_short,player,Faute dehors,2,2.19,opponent,drive,15,14,0,0
2026-05-03T18:48:24,Club,singles,player,serve_lob,player,Faute filet,2,2.20,opponent,smash,16,14,0,0
2026-05-03T18:48:28,Club,singles,player,serve_drive,opponent,Faute dehors,3,3.37,player,lob,17,14,0,0
2026-05-03T18:48:51,Club,singles,opponent,serve_drive,player,Faute filet,22,21.36,player,lob,17,15,0,0
2026-05-03T18:48:54,Club,singles,player,serve_drive,player,Faute dehors,2,2.04,opponent,smash,18,15,0,0
2026-05-03T18:49:07,Club,singles,player,serve_lob,player,Point,11,11.90,player,lob,19,15,0,0
2026-05-03T18:49:13,Club,singles,player,serve_short,opponent,Faute dehors,5,5.23,player,smash,20,15,0,0
2026-05-03T18:49:17,Club,singles,opponent,serve_short,player,Point,4,3.14,player,smash,20,16,0,0
2026-05-03T18:52:56,Club,singles,player,serve_lob,opponent,Faute dehors,7,9.18,player,drop,0,0,0,0
2026-05-03T18:52:58,Club,singles,opponent,serve_short,player,Faute service,1,0.60,opponent,serve_short,0,1,0,0
2026-05-03T18:53:02,Club,singles,player,serve_lob,opponent,Faute dehors,3,3.88,player,smash,1,1,0,0
2026-05-03T18:53:09,Club,singles,opponent,serve_short,opponent,Point,5,5.07,opponent,smash,1,2,0,0
2026-05-03T18:53:20,Club,singles,opponent,serve_lob,opponent,Faute filet,12,10.32,player,smash,1,3,0,0
2026-05-03T18:53:35,Club,singles,player,serve_short,player,Point,5,4.53,player,smash,0,0,0,0
2026-05-03T18:53:47,Club,singles,player,serve_drive,opponent,Faute filet,11,11.11,player,smash,1,0,0,0
2026-05-03T18:53:52,Club,singles,opponent,serve_lob,player,Faute filet,3,3.47,opponent,drop,1,1,0,0
2026-05-03T18:54:03,Club,singles,player,serve_short,opponent,Faute filet,11,10.22,player,smash,2,1,0,0
2026-05-03T18:54:06,Club,singles,opponent,serve_short,opponent,Faute filet,2,1.30,player,drop,2,2,0,0
2026-05-03T18:54:12,Club,singles,opponent,serve_short,player,Point,4,4.56,player,smash,2,3,0,0
2026-05-03T18:54:15,Club,singles,player,serve_short,player,Faute dehors,2,2.77,opponent,lob,3,3,0,0
2026-05-03T18:54:20,Club,singles,player,serve_lob,player,Faute filet,4,3.98,opponent,smash,4,3,0,0
2026-05-03T18:54:25,Club,singles,player,serve_short,player,Point,3,3.67,player,drop,5,3,0,0
2026-05-03T18:54:39,Club,singles,player,serve_short,opponent,Point,16,12.64,opponent,smash,6,3,0,0
2026-05-03T18:54:53,Club,singles,opponent,serve_lob,player,Faute dehors,11,13.41,opponent,lob,6,4,0,0
2026-05-03T18:55:02,Club,singles,player,serve_short,opponent,Point,8,8.00,opponent,smash,7,4,0,0
2026-05-03T18:55:07,Club,singles,opponent,serve_short,player,Point,4,3.10,player,smash,7,5,0,0
2026-05-03T18:55:10,Club,singles,player,serve_short,opponent,Faute dehors,3,2.59,player,smash,8,5,0,0
2026-05-03T18:55:18,Club,singles,opponent,serve_drive,player,Faute filet,7,6.40,opponent,drop,8,6,0,0
2026-05-03T18:55:44,Club,singles,player,serve_drive,player,Faute dehors,24,25.25,opponent,smash,9,6,0,0
2026-05-03T18:55:50,Club,singles,player,serve_short,player,Faute filet,6,4.98,opponent,smash,10,6,0,0
2026-05-03T18:55:57,Club,singles,player,serve_short,opponent,Faute filet,7,5.97,player,lob,11,6,0,0
2026-05-03T18:56:02,Club,singles,opponent,serve_lob,player,Faute dehors,3,4.15,opponent,smash,11,7,0,0
2026-05-03T18:56:05,Club,singles,player,serve_short,opponent,Faute filet,3,1.79,player,drop,12,7,0,0
